No,Fase,Bulan/Sprint Target,Modul,Task Teknis,Kategori,Tabel/Model Terkait (Supabase),Prioritas,Status,Catatan,Prompt (Copy-Paste ke AI Coding Agent)
34,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Layout & Navigasi,Bangun komponen toggle mode Admin/Orang Tua untuk kebutuhan staf yang merangkap 2 role (toggleAdminUserMode),UI,profiles,Menengah,Belum Dikerjakan,,"Bangun komponen toggle mode Admin/Orang Tua untuk kebutuhan staf yang merangkap 2 role (toggleAdminUserMode)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Layout & Navigasi) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `profiles` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
35,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Testing,"Test: alur login sukses, login gagal (kredensial salah), dan redirect sesuai role",Testing,profiles,Tinggi,Belum Dikerjakan,,"Test: alur login sukses, login gagal (kredensial salah), dan redirect sesuai role
Cakup skenario sukses DAN skenario gagal/edge case (validasi error, data kosong, angka negatif/nol, unauthorized access, dsb.) untuk `profiles`. Tulis test dengan Vitest (unit/integration) dan/atau Playwright (E2E) sesuai konteksnya, jalankan test-nya, dan tunjukkan hasilnya — semua test harus lulus sebelum task ini dianggap selesai."
36,"Fase 1 - Fondasi: Database, Auth & Layout",Agustus 2026 (Minggu 3-4),Testing,Test: RLS memastikan user A tidak bisa query/mutasi data siswa milik user B,Testing,students,Wajib,Belum Dikerjakan,,"Test: RLS memastikan user A tidak bisa query/mutasi data siswa milik user B
Cakup skenario sukses DAN skenario gagal/edge case (validasi error, data kosong, angka negatif/nol, unauthorized access, dsb.) untuk `students`. Tulis test dengan Vitest (unit/integration) dan/atau Playwright (E2E) sesuai konteksnya, jalankan test-nya, dan tunjukkan hasilnya — semua test harus lulus sebelum task ini dianggap selesai."
37,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Pendaftaran Siswa Baru,Server action handleRegistrationSubmit: buat akun orang tua + insert 1..N baris students dalam satu transaksi (Supabase RPC/transaction),Backend,"profiles, students",Wajib,Belum Dikerjakan,,"Server action handleRegistrationSubmit: buat akun orang tua + insert 1..N baris students dalam satu transaksi (Supabase RPC/transaction)
Acuan struktur data: tabel/model `profiles, students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
38,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Pendaftaran Siswa Baru,Logic hitung tagihan awal otomatis per anak: Total = Biaya Registrasi (bulan pertama saja) + Fee Program (FR-PAY-001),Backend,"students, programs",Wajib,Belum Dikerjakan,,"Logic hitung tagihan awal otomatis per anak: Total = Biaya Registrasi (bulan pertama saja) + Fee Program (FR-PAY-001)
Acuan struktur data: tabel/model `students, programs` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
39,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Pendaftaran Siswa Baru,"Bangun Form Pendaftaran Online dinamis — tambah/hapus kartu data anak ke-2, ke-3, dst (addRegChildCard/removeRegChildCard/renderRegChildrenCards)",UI,students,Wajib,Belum Dikerjakan,Bagian: Registration View,"Bangun Form Pendaftaran Online dinamis — tambah/hapus kartu data anak ke-2, ke-3, dst (addRegChildCard/removeRegChildCard/renderRegChildrenCards)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Pendaftaran Siswa Baru) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
40,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Pendaftaran Siswa Baru,"Validasi form pendaftaran (client-side) dengan react-hook-form + Zod: field wajib, format nomor WA, tipe data usia",UI,students,Wajib,Belum Dikerjakan,,"Validasi form pendaftaran (client-side) dengan react-hook-form + Zod: field wajib, format nomor WA, tipe data usia
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Pendaftaran Siswa Baru) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
41,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Pendaftaran Siswa Baru,Redirect otomatis ke halaman Payment (breakdown tagihan) setelah form pendaftaran berhasil dikirim (FR-REG-003),Backend,students,Tinggi,Belum Dikerjakan,,"Redirect otomatis ke halaman Payment (breakdown tagihan) setelah form pendaftaran berhasil dikirim (FR-REG-003)
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
42,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,Server action selectActiveChild: simpan index/ID anak aktif ke session/cookie untuk Child Switcher,Backend,students,Wajib,Belum Dikerjakan,,"Server action selectActiveChild: simpan index/ID anak aktif ke session/cookie untuk Child Switcher
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
43,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,"Bangun Parent Dashboard dari markup prototype: ringkasan status per anak, jadwal, tagihan (renderChildrenCards)",UI,"students, programs",Wajib,Belum Dikerjakan,Bagian: Parent Dashboard,"Bangun Parent Dashboard dari markup prototype: ringkasan status per anak, jadwal, tagihan (renderChildrenCards)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Portal Orang Tua) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students, programs` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
44,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,Bangun komponen Child Switcher (dropdown/tab ganti profil anak aktif dalam 1 akun orang tua),UI,students,Wajib,Belum Dikerjakan,Bagian: Child Switcher,"Bangun komponen Child Switcher (dropdown/tab ganti profil anak aktif dalam 1 akun orang tua)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Portal Orang Tua) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
45,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,"Server action tambah profil anak baru dari dalam dashboard (openAddChildModal/handleAddNewChild), termasuk hitung tagihan awal anak baru",Backend,students,Tinggi,Belum Dikerjakan,,"Server action tambah profil anak baru dari dalam dashboard (openAddChildModal/handleAddNewChild), termasuk hitung tagihan awal anak baru
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
46,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,Server action upload & update foto profil anak ke Supabase Storage bucket avatars (handlePhotoUpload/handleEditChildPhotoSubmit),Backend,students,Tinggi,Belum Dikerjakan,,"Server action upload & update foto profil anak ke Supabase Storage bucket avatars (handlePhotoUpload/handleEditChildPhotoSubmit)
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
47,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,Bangun Modal Edit Foto Anak dengan pratinjau gambar langsung (live preview) sebelum submit,UI,students,Tinggi,Belum Dikerjakan,Bagian: Avatar & Edit Foto Button Column,"Bangun Modal Edit Foto Anak dengan pratinjau gambar langsung (live preview) sebelum submit
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Portal Orang Tua) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
48,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Portal Orang Tua,"Validasi server-side tipe & ukuran file foto (JPG/PNG, maks. sesuai kebijakan) sebelum upload ke Storage",Backend,students,Tinggi,Belum Dikerjakan,,"Validasi server-side tipe & ukuran file foto (JPG/PNG, maks. sesuai kebijakan) sebelum upload ke Storage
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
49,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Testing,"Test: pendaftaran multi-anak (1, 2, 3+ anak) dalam satu kali submit, akun orang tua hanya dibuat sekali",Testing,"profiles, students",Wajib,Belum Dikerjakan,,"Test: pendaftaran multi-anak (1, 2, 3+ anak) dalam satu kali submit, akun orang tua hanya dibuat sekali
Cakup skenario sukses DAN skenario gagal/edge case (validasi error, data kosong, angka negatif/nol, unauthorized access, dsb.) untuk `profiles, students`. Tulis test dengan Vitest (unit/integration) dan/atau Playwright (E2E) sesuai konteksnya, jalankan test-nya, dan tunjukkan hasilnya — semua test harus lulus sebelum task ini dianggap selesai."
50,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Testing,"Test: tagihan awal terhitung benar per anak sesuai fee program masing-masing, biaya registrasi hanya sekali per anak",Testing,"students, programs",Wajib,Belum Dikerjakan,,"Test: tagihan awal terhitung benar per anak sesuai fee program masing-masing, biaya registrasi hanya sekali per anak
Cakup skenario sukses DAN skenario gagal/edge case (validasi error, data kosong, angka negatif/nol, unauthorized access, dsb.) untuk `students, programs`. Tulis test dengan Vitest (unit/integration) dan/atau Playwright (E2E) sesuai konteksnya, jalankan test-nya, dan tunjukkan hasilnya — semua test harus lulus sebelum task ini dianggap selesai."
51,Fase 2 - Portal Orang Tua & Pendaftaran,September 2026 (Minggu 1-2),Testing,"Test: Child Switcher — data yang ditampilkan (tagihan, LMS, nilai) selalu mengikuti anak yang sedang aktif",Testing,students,Tinggi,Belum Dikerjakan,,"Test: Child Switcher — data yang ditampilkan (tagihan, LMS, nilai) selalu mengikuti anak yang sedang aktif
Cakup skenario sukses DAN skenario gagal/edge case (validasi error, data kosong, angka negatif/nol, unauthorized access, dsb.) untuk `students`. Tulis test dengan Vitest (unit/integration) dan/atau Playwright (E2E) sesuai konteksnya, jalankan test-nya, dan tunjukkan hasilnya — semua test harus lulus sebelum task ini dianggap selesai."
52,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Manajemen Tagihan,Logic renderPaymentInteractionArea: tentukan tampilan & aksi yang tersedia sesuai payment_status (unpaid/pending/verified),Backend,students,Wajib,Belum Dikerjakan,,"Logic renderPaymentInteractionArea: tentukan tampilan & aksi yang tersedia sesuai payment_status (unpaid/pending/verified)
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
53,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Manajemen Tagihan,Server action submitPaymentProof: upload bukti transfer ke Storage bucket payment-proofs + set payment_status = 'pending',Backend,students,Wajib,Belum Dikerjakan,,"Server action submitPaymentProof: upload bukti transfer ke Storage bucket payment-proofs + set payment_status = 'pending'
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
54,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Manajemen Tagihan,Bangun halaman Payment — pilih metode pembayaran Bank Transfer BCA / QRIS (selectPaymentMethod) dari markup prototype,UI,students,Wajib,Belum Dikerjakan,Bagian: Payment View,"Bangun halaman Payment — pilih metode pembayaran Bank Transfer BCA / QRIS (selectPaymentMethod) dari markup prototype
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Manajemen Tagihan) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
55,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Manajemen Tagihan,Bangun komponen upload bukti bayar (JPG/PNG/PDF) dengan validasi tipe & ukuran file (payFileSelected/handlePaymentFileUpload),UI,students,Wajib,Belum Dikerjakan,,"Bangun komponen upload bukti bayar (JPG/PNG/PDF) dengan validasi tipe & ukuran file (payFileSelected/handlePaymentFileUpload)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Manajemen Tagihan) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
56,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Manajemen Tagihan,"Server action payNextMonthBill: generate tagihan bulan berikutnya (hanya fee program, tanpa biaya registrasi) untuk siswa berstatus verified",Backend,students,Wajib,Belum Dikerjakan,,"Server action payNextMonthBill: generate tagihan bulan berikutnya (hanya fee program, tanpa biaya registrasi) untuk siswa berstatus verified
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
57,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Manajemen Tagihan,"Server action admin adminVerifyPayment(id, status): approve/reject bukti bayar, approve mengubah status jadi verified",Backend,students,Wajib,Belum Dikerjakan,,"Server action admin adminVerifyPayment(id, status): approve/reject bukti bayar, approve mengubah status jadi verified
Acuan struktur data: tabel/model `students` di Supabase sesuai Software Design Description (SDD) Bimbel Grase (bagian 4). Implementasikan sebagai Next.js Server Action atau Route Handler (app/api atau app/**/actions.ts), validasi input pakai Zod, dan pola error handling yang konsisten dengan modul lain yang sudah dibangun di project ini — kalau ini modul pertama, pakai konvensi: Server Action + Zod schema + Supabase client server-side (bukan client-side langsung untuk operasi sensitif). Sambungkan ke data asli dari Supabase, bukan data dummy/mock/in-memory. Setelah selesai, tulis test (Vitest untuk unit, atau Playwright untuk alur end-to-end) mencakup skenario sukses dan skenario gagal/validasi error, jalankan test-nya, dan tunjukkan hasilnya."
58,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Verifikasi Keuangan,Bangun Admin Finance Queue — antrean verifikasi pembayaran masuk (renderAdminFinanceQueue) dari markup prototype,UI,students,Wajib,Belum Dikerjakan,Bagian: Finance & Verifier,"Bangun Admin Finance Queue — antrean verifikasi pembayaran masuk (renderAdminFinanceQueue) dari markup prototype
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Verifikasi Keuangan) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
59,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Verifikasi Keuangan,"Bangun Modal Canvas Receipt Generator — generate nota digital otomatis di sisi klien (generateMockReceiptImage, HTML5 Canvas API)",UI,students,Wajib,Belum Dikerjakan,Bagian: View Receipt Modal,"Bangun Modal Canvas Receipt Generator — generate nota digital otomatis di sisi klien (generateMockReceiptImage, HTML5 Canvas API)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Verifikasi Keuangan) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
60,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Verifikasi Keuangan,Bangun Modal View Receipt untuk orang tua melihat nota transaksinya sendiri (viewParentReceipt/openReceiptModal),UI,students,Tinggi,Belum Dikerjakan,,"Bangun Modal View Receipt untuk orang tua melihat nota transaksinya sendiri (viewParentReceipt/openReceiptModal)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Verifikasi Keuangan) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
61,Fase 3 - Pembayaran SPP & Paywall,September 2026 (Minggu 3-4),Verifikasi Keuangan,Bangun Riwayat Pembayaran / Finance History untuk Admin (renderAdminFinanceHistory),UI,students,Tinggi,Belum Dikerjakan,,"Bangun Riwayat Pembayaran / Finance History untuk Admin (renderAdminFinanceHistory)
Acuan tampilan & alur: tiru layout, komponen, dan interaksi yang sudah ada di prototype @prototype.html (bagian terkait: Verifikasi Keuangan) — jangan desain ulang dari nol. Gunakan Next.js App Router (React Server Components untuk fetch data + Client Component untuk interaktivitas), styling Tailwind CSS. Warna, tipografi (Quicksand untuk judul, Nunito Sans untuk bodi/form), dan ikon (Material Symbols Outlined) ikuti Software Design Description (SDD) Bimbel Grase bagian 7 (Primary #006a6a, Secondary #feb700/#7c5800, Surface #f4fbfa, Error #ba1a1a, Success #059669). Sambungkan ke data asli dari tabel `students` di Supabase, bukan data dummy/hardcode. Setelah selesai, ambil screenshot hasilnya, bandingkan dengan tampilan prototype yang sama, dan sebutkan perbedaannya kalau ada."
